contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
USO250702C00063000,2025-06-24 13:39:01+00:00,63.0,10.94,10.1,10.35,0.0,0.0,10.0,11,0.6992217578125001,True,REGULAR,USD,2025-07-02
USO250702C00069000,2025-06-27 18:20:29+00:00,69.0,4.3,4.25,4.4,-0.87999964,-16.98841,28.0,9,0.37305314453125,True,REGULAR,USD,2025-07-02
USO250702C00070000,2025-06-27 19:13:25+00:00,70.0,3.5,3.35,3.5,-0.48000002,-12.060302,3.0,9,0.36426416992187505,True,REGULAR,USD,2025-07-02
USO250702C00071000,2025-06-27 16:00:46+00:00,71.0,2.47,2.46,2.66,-0.78,-24.0,249.0,9,0.352545537109375,True,REGULAR,USD,2025-07-02
USO250702C00072000,2025-06-27 19:58:29+00:00,72.0,1.74,1.68,1.76,-0.48000002,-21.621622,508.0,110,0.2919992675781249,True,REGULAR,USD,2025-07-02
USO250702C00073000,2025-06-27 19:58:29+00:00,73.0,1.06,1.02,1.11,-0.46000004,-30.26316,659.0,112,0.282233740234375,True,REGULAR,USD,2025-07-02
USO250702C00074000,2025-06-27 19:58:39+00:00,74.0,0.62,0.59,0.64,-0.37,-37.373737,416.0,77,0.278327529296875,False,REGULAR,USD,2025-07-02
USO250702C00075000,2025-06-27 19:48:20+00:00,75.0,0.33,0.32,0.36,-0.31999996,-49.230766,551.0,256,0.28613995117187496,False,REGULAR,USD,2025-07-02
USO250702C00076000,2025-06-27 19:56:53+00:00,76.0,0.2,0.19,0.2,-0.2,-50.0,521.0,869,0.29883513671874995,False,REGULAR,USD,2025-07-02
USO250702C00077000,2025-06-27 19:54:41+00:00,77.0,0.13,0.11,0.14,-0.14000002,-51.851856,100.0,1100,0.3320379296875,False,REGULAR,USD,2025-07-02
USO250702C00078000,2025-06-27 18:22:16+00:00,78.0,0.08,0.07,0.1,-0.11,-57.894737,47.0,135,0.362311064453125,False,REGULAR,USD,2025-07-02
USO250702C00079000,2025-06-27 16:25:10+00:00,79.0,0.06,0.01,0.2,-0.08,-57.142853,16.0,360,0.49414568359375005,False,REGULAR,USD,2025-07-02
USO250702C00080000,2025-06-27 19:36:23+00:00,80.0,0.05,0.0,0.07,-0.06999999,-58.333332,157.0,2266,0.437505625,False,REGULAR,USD,2025-07-02
USO250702C00081000,2025-06-27 19:58:01+00:00,81.0,0.03,0.0,0.06,-0.07,-70.0,16.0,233,0.4726615234375,False,REGULAR,USD,2025-07-02
USO250702C00082000,2025-06-27 18:06:06+00:00,82.0,0.04,0.04,0.17,0.02,100.0,23.0,312,0.57812921875,False,REGULAR,USD,2025-07-02
USO250702C00083000,2025-06-27 19:02:00+00:00,83.0,0.03,0.02,0.05,-0.089999996,-75.0,70.0,478,0.5195360546875,False,REGULAR,USD,2025-07-02
USO250702C00084000,2025-06-27 18:17:32+00:00,84.0,0.04,0.0,0.1,0.02,100.0,2.0,743,0.5937540625000001,False,REGULAR,USD,2025-07-02
USO250702C00085000,2025-06-27 19:16:02+00:00,85.0,0.05,0.01,0.04,-0.040000003,-44.444447,30.0,503,0.570316796875,False,REGULAR,USD,2025-07-02
USO250702C00086000,2025-06-26 14:33:49+00:00,86.0,0.02,0.0,0.25,0.0,0.0,1.0,116,0.79101771484375,False,REGULAR,USD,2025-07-02
USO250702C00087000,2025-06-24 19:24:05+00:00,87.0,0.14,0.02,0.25,0.0,0.0,65.0,124,0.8476577734374999,False,REGULAR,USD,2025-07-02
USO250702C00088000,2025-06-27 13:30:00+00:00,88.0,0.05,0.0,0.03,-0.02,-28.571426,10.0,48,0.64062859375,False,REGULAR,USD,2025-07-02
USO250702C00089000,2025-06-26 16:09:10+00:00,89.0,0.09,0.0,0.24,0.0,0.0,3.0,59,0.9179695703125,False,REGULAR,USD,2025-07-02
USO250702C00090000,2025-06-27 17:23:38+00:00,90.0,0.05,0.0,0.2,-0.009999998,-16.666664,1.0,315,0.929688203125,False,REGULAR,USD,2025-07-02
USO250702C00091000,2025-06-24 19:43:13+00:00,91.0,0.07,0.0,0.25,0.0,0.0,12.0,73,1.0078174609375,False,REGULAR,USD,2025-07-02
USO250702C00092000,2025-06-25 14:16:39+00:00,92.0,0.03,0.0,0.25,-0.04,-57.142853,1.0,80,1.0468797656250002,False,REGULAR,USD,2025-07-02
USO250702C00093000,2025-06-26 18:10:57+00:00,93.0,0.02,0.0,0.25,0.0,0.0,1.0,21,1.087895185546875,False,REGULAR,USD,2025-07-02
USO250702C00094000,2025-06-27 15:14:33+00:00,94.0,0.02,0.0,0.15,-0.06,-75.0,4.0,27,1.0390673046875003,False,REGULAR,USD,2025-07-02
USO250702C00095000,2025-06-24 14:07:44+00:00,95.0,0.06,0.0,0.2,0.0,0.0,397.0,396,1.125004375,False,REGULAR,USD,2025-07-02
USO250702C00096000,2025-06-23 18:20:48+00:00,96.0,0.2,0.0,0.25,0.0,0.0,47.0,50,1.203128984375,False,REGULAR,USD,2025-07-02
USO250702C00097000,2025-06-23 14:04:55+00:00,97.0,0.53,,0.25,0.0,0.0,,1,1.40625296875,False,REGULAR,USD,2025-07-02
USO250702C00098000,2025-06-23 14:04:55+00:00,98.0,0.47,0.0,0.25,0.0,0.0,4.0,6,1.2773473632812498,False,REGULAR,USD,2025-07-02
USO250702C00099000,2025-06-27 13:57:24+00:00,99.0,0.02,0.0,0.25,-0.02,-50.0,11.0,74,1.3144565527343748,False,REGULAR,USD,2025-07-02
USO250702C00100000,2025-06-23 18:06:32+00:00,100.0,0.16,0.0,0.25,0.0,0.0,65.0,76,1.3515657421874998,False,REGULAR,USD,2025-07-02
USO250702C00103000,2025-06-24 13:43:21+00:00,103.0,0.05,0.0,0.25,0.0,0.0,39.0,42,1.453127734375,False,REGULAR,USD,2025-07-02
USO250702C00104000,2025-06-23 16:44:21+00:00,104.0,0.25,,0.24,0.0,0.0,,2,1.6601579492187502,False,REGULAR,USD,2025-07-02
USO250702C00105000,2025-06-27 15:10:13+00:00,105.0,0.01,,0.25,0.0,0.0,3.0,15,1.7070327148437499,False,REGULAR,USD,2025-07-02
USO250702C00107000,2025-06-24 19:43:47+00:00,107.0,0.06,0.0,0.25,0.0,0.0,25.0,134,1.5859395703124997,False,REGULAR,USD,2025-07-02
USO250702C00108000,2025-06-24 19:24:05+00:00,108.0,0.11,,0.25,0.0,0.0,5.0,13,1.8125009374999999,False,REGULAR,USD,2025-07-02
USO250702C00109000,2025-06-26 15:34:06+00:00,109.0,0.01,0.0,0.25,0.0,0.0,4.0,54,1.6484392578125,False,REGULAR,USD,2025-07-02
USO250703C00050000,2025-06-24 13:59:23+00:00,50.0,23.8,23.1,23.35,0.0,0.0,48.0,53,1.4140654296875002,True,REGULAR,USD,2025-07-03
USO250703C00055000,2025-06-24 14:04:31+00:00,55.0,18.55,18.15,18.35,0.0,0.0,59.0,58,1.1015669921875002,True,REGULAR,USD,2025-07-03
USO250703C00056000,2025-06-23 19:54:16+00:00,56.0,21.0,17.15,17.35,0.0,0.0,,3,1.0429735351562504,True,REGULAR,USD,2025-07-03
USO250703C00057000,2025-06-24 13:58:00+00:00,57.0,16.85,16.15,16.35,0.0,0.0,35.0,46,0.98437515625,True,REGULAR,USD,2025-07-03
USO250703C00058000,2025-06-25 13:31:46+00:00,58.0,15.0,15.15,15.35,0.0,0.0,10.0,83,0.92187578125,True,REGULAR,USD,2025-07-03
USO250703C00059000,2025-06-23 19:54:38+00:00,59.0,18.0,14.15,14.35,0.0,0.0,,34,0.8632826171875,True,REGULAR,USD,2025-07-03
